Date,EURBRL
12/07/2011,"2,19938349"
13/07/2011,"2,23162095"
14/07/2011,"2,2313781"
15/07/2011,"2,22757235"
16/07/2011,"2,2193472"
18/07/2011,"2,222325"
19/07/2011,"2,21743285"
20/07/2011,"2,227557825"
21/07/2011,"2,23764045"
22/07/2011,"2,23093423"
23/07/2011,"2,23186657"
24/07/2011,"2,23559593"
25/07/2011,"2,2188717"
26/07/2011,"2,224509154"
27/07/2011,"2,24601839"
28/07/2011,"2,2394924"
29/07/2011,"2,23067118"
30/07/2011,"2,2244856"
01/08/2011,"2,22157858"
02/08/2011,"2,215368063"
03/08/2011,"2,24299878"
04/08/2011,"2,21792688"
05/08/2011,"2,2775172"
06/08/2011,"2,2548915"
08/08/2011,"2,262791331"
09/08/2011,"2,340586346"
10/08/2011,"2,29109594"
11/08/2011,"2,30898192"
15/08/2011,"2,294066913"
16/08/2011,"2,28047036"
17/08/2011,"2,27730195"
18/08/2011,"2,302831"
19/08/2011,"2,30275212"
20/08/2011,"2,29818918"
22/08/2011,"2,301398325"
23/08/2011,"2,30554282"
24/08/2011,"2,31660149"
25/08/2011,"2,3126157"
26/08/2011,"2,3232336"
27/08/2011,"2,31376"
29/08/2011,"2,31524246"
30/08/2011,"2,289303635"
31/08/2011,"2,27421075"
01/09/2011,"2,280174"
02/09/2011,"2,32987838"
03/09/2011,"2,31284918"
05/09/2011,"2,3189158"
06/09/2011,"2,324498"
07/09/2011,"2,328772865"
08/09/2011,"2,295773548"
09/09/2011,"2,29335725"
11/09/2011,"2,277261036"
12/09/2011,"2,326657335"
13/09/2011,"2,34184545"
14/09/2011,"2,36944836"
15/09/2011,"2,37017988"
16/09/2011,"2,36031895"
19/09/2011,"2,42848368"
20/09/2011,"2,45287956"
21/09/2011,"2,49061959"
22/09/2011,"2,529231984"
23/09/2011,"2,5094641"
24/09/2011,"2,50774254"
26/09/2011,"2,4950536"
27/09/2011,"2,4472962"
28/09/2011,"2,460147888"
29/09/2011,"2,48293045"
30/09/2011,"2,4722095"
03/10/2011,"2,49025384"
04/10/2011,"2,46525825"
05/10/2011,"2,44578906"
06/10/2011,"2,42603676"
07/10/2011,"2,359885"
09/10/2011,"2,35830986"
10/10/2011,"2,38172346"
11/10/2011,"2,37241872"
12/10/2011,"2,4461686"
13/10/2011,"2,395001969"
14/10/2011,"2,401934"
15/10/2011,"2,39840406"
17/10/2011,"2,427858"
18/10/2011,"2,414189875"
19/10/2011,"2,424006738"
20/10/2011,"2,4626647"
21/10/2011,"2,46086709"
22/10/2011,"2,45201472"
24/10/2011,"2,43572532"
25/10/2011,"2,4491896"
26/10/2011,"2,4413346"
27/10/2011,"2,4219948"
28/10/2011,"2,3892594"
31/10/2011,"2,34498944"
01/11/2011,"2,3790494"
02/11/2011,"2,37392768"
03/11/2011,"2,394335515"
04/11/2011,"2,40446085"
05/11/2011,"2,4041754"
07/11/2011,"2,407634913"
08/11/2011,"2,40520665"
09/11/2011,"2,3758015"
10/11/2011,"2,3955888"
11/11/2011,"2,3947274"
13/11/2011,"2,399252504"
14/11/2011,"2,39626305"
15/11/2011,"2,390978941"
16/11/2011,"2,37875211"
17/11/2011,"2,37455823"
18/11/2011,"2,40411894"
19/11/2011,"2,40323004"
21/11/2011,"2,43260286"
22/11/2011,"2,44905606"
23/11/2011,"2,48104992"
24/11/2011,"2,4996664"
25/11/2011,"2,48895311"
26/11/2011,"2,48149581"
27/11/2011,"2,50173915"
28/11/2011,"2,469384674"
29/11/2011,"2,45343045"
30/11/2011,"2,4306752"
01/12/2011,"2,42231752"
02/12/2011,"2,40167585"
03/12/2011,"2,380451878"
04/12/2011,"2,40844032"
05/12/2011,"2,38181664"
06/12/2011,"2,4015519"
07/12/2011,"2,41133722"
08/12/2011,"2,42464114"
09/12/2011,"2,41567816"
10/12/2011,"2,40770475"
12/12/2011,"2,38344008"
13/12/2011,"2,41891117"
14/12/2011,"2,43656318"
15/12/2011,"2,42127288"
16/12/2011,"2,42083596"
18/12/2011,"2,4146443"
19/12/2011,"2,4271966"
20/12/2011,"2,40981112"
21/12/2011,"2,41894014"
22/12/2011,"2,4164805"
23/12/2011,"2,423761"
24/12/2011,"2,42199425"
27/12/2011,"2,430648"
28/12/2011,"2,42619776"
29/12/2011,"2,41506096"
30/12/2011,"2,41350039"
31/12/2011,"2,41298211"
02/01/2012,"2,41934837"
03/01/2012,"2,394150915"
04/01/2012,"2,35137304"
05/01/2012,"2,357197"
06/01/2012,"2,352275"
07/01/2012,"2,35051672"
09/01/2012,"2,35121474"
10/01/2012,"2,2962436"
11/01/2012,"2,2936913"
12/01/2012,"2,28293571"
13/01/2012,"2,26784064"
14/01/2012,"2,2707344"
16/01/2012,"2,253750345"
17/01/2012,"2,267456695"
18/01/2012,"2,27421063"
19/01/2012,"2,27530355"
20/01/2012,"2,2793827"
21/01/2012,"2,27862546"
23/01/2012,"2,2818048"
24/01/2012,"2,29242608"
25/01/2012,"2,307008"
26/01/2012,"2,276337427"
27/01/2012,"2,29605724"
28/01/2012,"2,292422"
30/01/2012,"2,29446357"
31/01/2012,"2,28097704"
01/02/2012,"2,27995622"
02/02/2012,"2,25689616"
03/02/2012,"2,25699174"
04/02/2012,"2,25600256"
05/02/2012,"2,25133125"
06/02/2012,"2,26114966"
07/02/2012,"2,28333266"
08/02/2012,"2,277702196"
09/02/2012,"2,27763504"
10/02/2012,"2,27067582"
11/02/2012,"2,2639981"
12/02/2012,"2,27414428"
13/02/2012,"2,25600256"
14/02/2012,"2,25392574"
15/02/2012,"2,25633402"
16/02/2012,"2,25193685"
17/02/2012,"2,25223599"
18/02/2012,"2,24908215"
19/02/2012,"2,26106204"
20/02/2012,"2,26647969"
21/02/2012,"2,270323755"
22/02/2012,"2,25942801"
23/02/2012,"2,29031859"
24/02/2012,"2,2958682"
25/02/2012,"2,29486502"
27/02/2012,"2,2872342"
28/02/2012,"2,2866672"
29/02/2012,"2,28642537"
01/03/2012,"2,28166233"
02/03/2012,"2,28209772"
03/03/2012,"2,28139682"
04/03/2012,"2,28146549"
05/03/2012,"2,29754538"
06/03/2012,"2,30785269"
07/03/2012,"2,323613998"
08/03/2012,"2,33750803"
09/03/2012,"2,34765702"
10/03/2012,"2,34747811"
11/03/2012,"2,3472992"
12/03/2012,"2,3688879"
13/03/2012,"2,342517"
14/03/2012,"2,34730544"
15/03/2012,"2,35214334"
16/03/2012,"2,36315212"
17/03/2012,"2,3686852"
18/03/2012,"2,36892525"
19/03/2012,"2,4087861"
20/03/2012,"2,40114276"
21/03/2012,"2,40425472"
22/03/2012,"2,39992432"
23/03/2012,"2,40049479"
24/03/2012,"2,38567194"
25/03/2012,"2,40153208"
26/03/2012,"2,4261174"
27/03/2012,"2,4258384"
28/03/2012,"2,4297212"
29/03/2012,"2,4247032"
30/03/2012,"2,4350836"
31/03/2012,"2,4333494"
01/04/2012,"2,43995256"
02/04/2012,"2,44135652"
03/04/2012,"2,41519296"
04/04/2012,"2,4022548"
05/04/2012,"2,3812026"
06/04/2012,"2,38892085"
07/04/2012,"2,3824533"
08/04/2012,"2,37835857"
09/04/2012,"2,3839224"
10/04/2012,"2,39630776"
11/04/2012,"2,40599904"
12/04/2012,"2,4086358"
13/04/2012,"2,40226975"
